treatment,group,image_number,cell_label,cell_area,granule_count,granules_per_area
GLU-40min,R326H,5,28,205.4808,4,0.01946653896617105
GLU-40min,R326H,5,29,167.2164,4,0.023921098648218717
GLU-40min,R326H,5,30,161.676,0,0.0
GLU-40min,R326H,5,31,176.904,3,0.016958350291683626
GLU-40min,R326H,5,32,184.8096,5,0.027054871608401296
GLU-40min,R326H,5,33,157.302,0,0.0
GLU-40min,R326H,5,34,184.5504,2,0.010837148009432654
GLU-40min,R326H,5,35,114.6312,2,0.017447256942263536
GLU-40min,R326H,5,37,145.8972,0,0.0
GLU-40min,R326H,5,38,243.97199999999998,4,0.01639532405357992
GLU-40min,R326H,5,39,118.06559999999999,0,0.0
GLU-40min,R326H,5,40,160.28279999999998,5,0.031194863079506974
GLU-40min,R326H,6,11,181.6668,0,0.0
GLU-40min,R326H,6,12,139.1256,0,0.0
GLU-40min,R326H,6,13,358.11719999999997,8,0.02233905548239515
GLU-40min,R326H,6,14,193.16879999999998,1,0.005176819444962127
GLU-40min,R326H,6,15,195.14519999999996,0,0.0
GLU-40min,R326H,6,16,135.918,0,0.0
GLU-40min,R326H,6,17,241.12079999999997,3,0.012441896344073179
GLU-40min,R326H,6,19,165.1104,0,0.0
GLU-40min,R326H,6,20,89.74799999999999,1,0.011142309577929315
GLU-40min,R326H,6,21,96.55199999999999,2,0.02071422653078134
GLU-40min,R326H,6,22,168.60959999999997,0,0.0
GLU-40min,R326H,6,23,334.20599999999996,7,0.020945165556572894
GLU-40min,R326H,6,24,366.60599999999994,12,0.0327326884993699
GLU-40min,R326H,6,25,247.85999999999999,2,0.008069071249899137
GLU-40min,R326H,6,26,214.61759999999998,4,0.018637800441343114
GLU-40min,R326H,6,27,228.51719999999997,0,0.0
GLU-40min,R326H,6,28,207.1008,2,0.009657133144826094
GLU-40min,R326H,6,29,278.44559999999996,1,0.0035913657820414477
GLU-40min,R326H,6,30,182.9304,0,0.0
GLU-40min,R326H,6,31,240.89399999999998,7,0.029058424037128366
GLU-40min,R326H,6,32,198.5796,3,0.01510729198769662
GLU-40min,R326H,6,33,381.996,6,0.01570697075362046
GLU-40min,R326H,6,34,180.468,0,0.0
GLU-40min,R326H,6,35,171.20159999999998,0,0.0
GLU-40min,R326H,6,36,183.61079999999998,0,0.0
GLU-40min,R326H,6,37,173.17799999999997,0,0.0
GLU-40min,R326H,6,38,241.21799999999996,1,0.004145627606563358
GLU-40min,R326H,6,39,248.28119999999998,2,0.008055382364834713
GLU-40min,R326H,6,40,225.2772,1,0.00443897562647263
GLU-40min,R326H,6,41,211.11839999999998,0,0.0
GLU-40min,R326H,6,43,164.3652,0,0.0
